Ticker,Buy Date,Sell Date,Buy Price,Sell Price,Profit,Profit Percent,Gain Factor,Trade Status,Buy Price Commission,Sell Price Commission,Profit Commission,Profit Percent Commission,Gain Factor Commission,Simulation Status,Trade Iteration Number,1th Iteration,2th Iteration,3th Iteration,4th Iteration,5th Iteration
BMNS,2024-02-11,2024-02-25 00:00:00,1.32,1.25,-0.07,-5.303030303030307,0.9469696969696968,Closed,1.320792,1.24925,-0.071542,-5.416598525733045,0.9458340147426696,True,5,,,,,0.9458340147426696
BNOI,2024-02-13,2024-02-29 00:00:00,3.09,3.52,0.4300000000000001,13.915857605178,1.13915857605178,Closed,3.091854,3.517888,0.4260340000000004,13.77924054628713,1.1377924054628714,True,4,,,,1.1377924054628714,
IBSD,2024-02-21,2024-02-25 00:00:00,4.2,4.15,-0.0499999999999998,-1.1904761904761862,0.988095238095238,Closed,4.20252,4.1475100000000005,-0.0550099999999993,-1.3089765188505786,0.9869102348114942,True,1,0.9869102348114942,,,,
BMNS,2024-02-26,2024-03-07 00:00:00,1.26,1.33,0.07,5.55555555555556,1.0555555555555556,Closed,1.260756,1.329202,0.068446,5.4289648433162325,1.0542896484331623,True,1,1.0542896484331623,,,,
IBSD,2024-02-27,2024-02-28 00:00:00,4.11,4.03,-0.08,-1.9464720194647216,0.9805352798053528,Closed,4.112466,4.027582000000001,-0.0848839999999997,-2.064065696834934,0.9793593430316506,True,5,,,,,0.9793593430316506
IBSD,2024-02-29,2024-03-10 00:00:00,4.05,3.97,-0.0799999999999996,-1.9753086419753,0.980246913580247,Closed,4.05243,3.967618,-0.0848119999999998,-2.092867736148432,0.9790713226385156,True,5,,,,,0.9790713226385156
BNOI,2024-03-03,2024-03-11 00:00:00,3.73,3.7,-0.0299999999999998,-0.8042895442359197,0.9919571045576407,Closed,3.732238,3.69778,-0.0344579999999998,-0.9232530186981612,0.9907674698130184,True,3,,,0.9907674698130184,,
TASC,2024-03-04,2024-03-07 00:00:00,9.85,9.31,-0.5399999999999991,-5.482233502538063,0.9451776649746194,Closed,9.85591,9.304414,-0.5514959999999984,-5.595586810350323,0.9440441318964968,True,4,,,,0.9440441318964968,
BMNS,2024-03-10,2024-03-25 00:00:00,1.29,1.34,0.05,3.875968992248065,1.0387596899224807,Closed,1.290774,1.339196,0.0484219999999999,3.7513925753075257,1.0375139257530752,True,1,1.0375139257530752,,,,
TASC,2024-03-10,2024-03-25 00:00:00,9.38,9.15,-0.2300000000000004,-2.452025586353949,0.9754797441364604,Closed,9.385628,9.14451,-0.2411180000000001,-2.5690129632242,0.974309870367758,True,4,,,,0.974309870367758,
IBSD,2024-03-11,2024-03-24 00:00:00,4.0,4.05,0.0499999999999998,1.2499999999999956,1.0125,Closed,4.0024,4.04757,0.0451699999999997,1.1285728562862212,1.0112857285628625,True,5,,,,,1.0112857285628625
BNOI,2024-03-13,2024-03-25 00:00:00,3.63,3.65,0.02,0.5509641873278243,1.0055096418732783,Closed,3.632178,3.64781,0.015632,0.4303753835852783,1.0043037538358528,True,2,,1.0043037538358528,,,
BBOB,2024-03-13,2024-03-24 00:00:00,3.64,3.58,-0.06,-1.6483516483516498,0.9835164835164836,Closed,3.642184,3.577852,-0.0643320000000002,-1.7663028556492557,0.9823369714435074,True,3,,,0.9823369714435074,,
IBSD,2024-03-25,2024-03-26 00:00:00,4.05,3.95,-0.0999999999999996,-2.469135802469127,0.9753086419753088,Closed,4.05243,3.94763,-0.1048,-2.586102659392019,0.9741389734060798,True,3,,,0.9741389734060798,,
BNOI,2024-03-26,2024-03-27 00:00:00,3.44,3.43,-0.0099999999999997,-0.2906976744185984,0.997093023255814,Closed,3.442064,3.4279420000000003,-0.0141219999999995,-0.4102770895602036,0.995897229104398,True,1,0.995897229104398,,,,
BBOB,2024-03-26,2024-03-27 00:00:00,3.2,3.2,0.0,0.0,1.0,Closed,3.2019200000000003,3.19808,-0.0038400000000002,-0.1199280431741045,0.998800719568259,True,2,,0.998800719568259,,,
BNOI,2024-03-28,Open Trade - Last Close Price Used,3.46,3.6,0.1400000000000001,4.046242774566478,1.0404624277456649,Open,3.462076,3.59784,0.135764,3.921462151610768,1.0392146215161078,True,1,1.0392146215161078,,,,
BBOB,2024-03-28,2024-03-31 00:00:00,3.17,3.05,-0.1200000000000001,-3.78548895899054,0.9621451104100948,Closed,3.171902,3.04817,-0.1237319999999999,-3.900877139331542,0.9609912286066846,True,2,,0.9609912286066846,,,
BMNS,2024-03-28,Open Trade - Last Close Price Used,1.28,1.35,0.07,5.468750000000004,1.0546875,Open,1.280768,1.34919,0.0684219999999999,5.34226339196482,1.0534226339196482,True,3,,,1.0534226339196482,,
TASC,2024-03-28,Open Trade - Last Close Price Used,8.59,9.18,0.5899999999999999,6.868451688009311,1.0686845168800931,Open,8.595153999999999,9.174492,0.5793379999999999,6.74028644512943,1.0674028644512945,True,4,,,,1.0674028644512945,
BBOB,2024-04-01,Open Trade - Last Close Price Used,3.09,3.33,0.2400000000000002,7.766990291262143,1.077669902912621,Open,3.091854,3.328002,0.2361480000000004,7.637747448618223,1.0763774744861825,True,2,,1.0763774744861825,,,
IBSD,2024-04-01,Open Trade - Last Close Price Used,4.0,4.17,0.1699999999999999,4.249999999999998,1.0425,Open,4.0024,4.167498,0.1650980000000004,4.1249750149910165,1.04124975014991,True,5,,,,,1.04124975014991
